LYLTY_CARD_NBR,LIFESTAGE,PREMIUM_CUSTOMER
2370651,MIDAGE SINGLES/COUPLES,Mainstream
2330211,MIDAGE SINGLES/COUPLES,Budget
2330031,MIDAGE SINGLES/COUPLES,Premium
272392,MIDAGE SINGLES/COUPLES,Premium
272344,MIDAGE SINGLES/COUPLES,Budget
272334,MIDAGE SINGLES/COUPLES,Mainstream
272333,MIDAGE SINGLES/COUPLES,Premium
272304,MIDAGE SINGLES/COUPLES,Budget
272281,MIDAGE SINGLES/COUPLES,Mainstream
272269,MIDAGE SINGLES/COUPLES,Mainstream
272244,MIDAGE SINGLES/COUPLES,Mainstream
272215,MIDAGE SINGLES/COUPLES,Premium
272195,MIDAGE SINGLES/COUPLES,Mainstream
272175,MIDAGE SINGLES/COUPLES,Mainstream
272172,MIDAGE SINGLES/COUPLES,Mainstream
272142,MIDAGE SINGLES/COUPLES,Premium
272141,MIDAGE SINGLES/COUPLES,Mainstream
272108,MIDAGE SINGLES/COUPLES,Budget
272076,MIDAGE SINGLES/COUPLES,Mainstream
272028,MIDAGE SINGLES/COUPLES,Budget
272004,MIDAGE SINGLES/COUPLES,Premium
271221,MIDAGE SINGLES/COUPLES,Premium
271219,MIDAGE SINGLES/COUPLES,Mainstream
271216,MIDAGE SINGLES/COUPLES,Premium
271203,MIDAGE SINGLES/COUPLES,Mainstream
271191,MIDAGE SINGLES/COUPLES,Mainstream
271173,MIDAGE SINGLES/COUPLES,Mainstream
271168,MIDAGE SINGLES/COUPLES,Mainstream
271160,MIDAGE SINGLES/COUPLES,Premium
271130,MIDAGE SINGLES/COUPLES,Mainstream
271129,MIDAGE SINGLES/COUPLES,Premium
271113,MIDAGE SINGLES/COUPLES,Mainstream
271112,MIDAGE SINGLES/COUPLES,Mainstream
271109,MIDAGE SINGLES/COUPLES,Budget
271102,MIDAGE SINGLES/COUPLES,Mainstream
271097,MIDAGE SINGLES/COUPLES,Mainstream
271077,MIDAGE SINGLES/COUPLES,Premium
271074,MIDAGE SINGLES/COUPLES,Premium
271044,MIDAGE SINGLES/COUPLES,Mainstream
271041,MIDAGE SINGLES/COUPLES,Mainstream
271017,MIDAGE SINGLES/COUPLES,Budget
271014,MIDAGE SINGLES/COUPLES,Mainstream
271006,MIDAGE SINGLES/COUPLES,Mainstream
270241,MIDAGE SINGLES/COUPLES,Premium
270212,MIDAGE SINGLES/COUPLES,Budget
270185,MIDAGE SINGLES/COUPLES,Mainstream
270154,MIDAGE SINGLES/COUPLES,Mainstream
270148,MIDAGE SINGLES/COUPLES,Premium
270107,MIDAGE SINGLES/COUPLES,Premium
270100,MIDAGE SINGLES/COUPLES,Mainstream
270098,MIDAGE SINGLES/COUPLES,Mainstream
270086,MIDAGE SINGLES/COUPLES,Mainstream
270060,MIDAGE SINGLES/COUPLES,Budget
270056,MIDAGE SINGLES/COUPLES,Premium
270052,MIDAGE SINGLES/COUPLES,Premium
270014,MIDAGE SINGLES/COUPLES,Premium
270001,MIDAGE SINGLES/COUPLES,Mainstream
269249,MIDAGE SINGLES/COUPLES,Premium
269239,MIDAGE SINGLES/COUPLES,Budget
269229,MIDAGE SINGLES/COUPLES,Premium
269221,MIDAGE SINGLES/COUPLES,Budget
269207,MIDAGE SINGLES/COUPLES,Mainstream
269205,MIDAGE SINGLES/COUPLES,Mainstream
269183,MIDAGE SINGLES/COUPLES,Mainstream
269175,MIDAGE SINGLES/COUPLES,Budget
269160,MIDAGE SINGLES/COUPLES,Premium
269157,MIDAGE SINGLES/COUPLES,Mainstream
269153,MIDAGE SINGLES/COUPLES,Budget
269152,MIDAGE SINGLES/COUPLES,Premium
269138,MIDAGE SINGLES/COUPLES,Premium
269134,MIDAGE SINGLES/COUPLES,Mainstream
269129,MIDAGE SINGLES/COUPLES,Mainstream
269123,MIDAGE SINGLES/COUPLES,Premium
269118,MIDAGE SINGLES/COUPLES,Mainstream
269107,MIDAGE SINGLES/COUPLES,Mainstream
269106,MIDAGE SINGLES/COUPLES,Mainstream
269090,MIDAGE SINGLES/COUPLES,Budget
269086,MIDAGE SINGLES/COUPLES,Mainstream
269083,MIDAGE SINGLES/COUPLES,Premium
269077,MIDAGE SINGLES/COUPLES,Premium
269067,MIDAGE SINGLES/COUPLES,Premium
269066,MIDAGE SINGLES/COUPLES,Mainstream
269048,MIDAGE SINGLES/COUPLES,Budget
269042,MIDAGE SINGLES/COUPLES,Budget
269031,MIDAGE SINGLES/COUPLES,Premium
269029,MIDAGE SINGLES/COUPLES,Premium
269019,MIDAGE SINGLES/COUPLES,Budget
269016,MIDAGE SINGLES/COUPLES,Mainstream
269011,MIDAGE SINGLES/COUPLES,Mainstream
269009,MIDAGE SINGLES/COUPLES,Mainstream
269001,MIDAGE SINGLES/COUPLES,Premium
268489,MIDAGE SINGLES/COUPLES,Premium
268486,MIDAGE SINGLES/COUPLES,Budget
268471,MIDAGE SINGLES/COUPLES,Budget
268420,MIDAGE SINGLES/COUPLES,Budget
268405,MIDAGE SINGLES/COUPLES,Mainstream
268402,MIDAGE SINGLES/COUPLES,Premium
268314,MIDAGE SINGLES/COUPLES,Mainstream
268296,MIDAGE SINGLES/COUPLES,Mainstream
268293,MIDAGE SINGLES/COUPLES,Mainstream
268291,MIDAGE SINGLES/COUPLES,Premium
268284,MIDAGE SINGLES/COUPLES,Mainstream
268272,MIDAGE SINGLES/COUPLES,Budget
268219,MIDAGE SINGLES/COUPLES,Premium
268207,MIDAGE SINGLES/COUPLES,Budget
268192,MIDAGE SINGLES/COUPLES,Mainstream
268170,MIDAGE SINGLES/COUPLES,Premium
268162,MIDAGE SINGLES/COUPLES,Premium
268156,MIDAGE SINGLES/COUPLES,Budget
268151,MIDAGE SINGLES/COUPLES,Budget
268067,MIDAGE SINGLES/COUPLES,Mainstream
268042,MIDAGE SINGLES/COUPLES,Budget
268037,MIDAGE SINGLES/COUPLES,Premium
268017,MIDAGE SINGLES/COUPLES,Premium
268001,MIDAGE SINGLES/COUPLES,Mainstream
267469,MIDAGE SINGLES/COUPLES,Budget
267414,MIDAGE SINGLES/COUPLES,Budget
267191,MIDAGE SINGLES/COUPLES,Mainstream
267182,MIDAGE SINGLES/COUPLES,Premium
267140,MIDAGE SINGLES/COUPLES,Budget
267071,MIDAGE SINGLES/COUPLES,Mainstream
266499,MIDAGE SINGLES/COUPLES,Premium
266475,MIDAGE SINGLES/COUPLES,Premium
266469,MIDAGE SINGLES/COUPLES,Mainstream
266409,MIDAGE SINGLES/COUPLES,Mainstream
266399,MIDAGE SINGLES/COUPLES,Premium
266376,MIDAGE SINGLES/COUPLES,Budget
266346,MIDAGE SINGLES/COUPLES,Premium
266333,MIDAGE SINGLES/COUPLES,Mainstream
266327,MIDAGE SINGLES/COUPLES,Budget
266325,MIDAGE SINGLES/COUPLES,Budget
266312,MIDAGE SINGLES/COUPLES,Budget
266311,MIDAGE SINGLES/COUPLES,Budget
266304,MIDAGE SINGLES/COUPLES,Mainstream
